t,y_pinn,y_ref
0.36875,0.034978155,0.0349758006632328
0.37,0.034983214,0.034980807453393936
0.37125,0.03498878,0.03498631343245506
0.3725,0.034994833,0.03499232232570648
0.37375,0.035001412,0.034998830407857895
0.375,0.03500848,0.0350058414041996
0.37625,0.035016052,0.0350133553147316
0.3775,0.035024133,0.03502136841416359
0.37875,0.035032712,0.03502988442778587
0.38,0.035041787,0.03503890335559845
0.38125,0.03505137,0.03504842147231102
0.3825,0.035061456,0.03505844250321388
0.38375,0.035072044,0.03506896272301674
0.385,0.035083134,0.03507998585700989
0.38625,0.035094716,0.03509150817990303
0.3875,0.03510681,0.035103533416986465
0.38875,0.035119396,0.035116057842969894
0.39,0.035132494,0.03512908145785332
0.39125,0.035146087,0.03514260798692703
0.3925,0.03516018,0.03515663743019104
0.39375,0.035174776,0.03517116606235504
0.395,0.035189874,0.03518619388341904
0.39625,0.03520547,0.035201724618673325
0.3975,0.03522156,0.035217754542827606
0.39875,0.03523816,0.03523428365588188
0.4,0.03525527,0.03525131568312645
0.40125,0.035272863,0.03526884317398071
0.4025,0.035290953,0.03528687730431557
0.40375,0.035309553,0.03530540689826012
0.405,0.035328653,0.03532443940639496
0.40625,0.03534825,0.035343971103429794
0.4075,0.035368342,0.035364001989364624
0.40875,0.03538894,0.03538453206419945
0.41,0.03541004,0.035405565053224564
0.41125,0.03543163,0.035427093505859375
0.4125,0.03545373,0.03544912487268448
0.41375,0.035476323,0.035471655428409576
0.415,0.035499424,0.03549468517303467
0.41625,0.03552302,0.03551821410655975
0.4175,0.03554711,0.03554224222898483
0.41875,0.035571706,0.035566769540309906
0.42,0.0355968,0.03559179976582527
0.42125,0.03562239,0.03561732545495033
0.4225,0.035648476,0.03564335033297539
0.42375,0.035675075,0.035669878125190735
0.425,0.035702165,0.03569690138101578
0.42625,0.035729747,0.035724423825740814
0.4275,0.03575784,0.035752445459365845
0.42875,0.035786428,0.03578096628189087
0.43,0.03581551,0.03580998629331589
0.43125,0.035845093,0.0358395054936409
0.4325,0.035875175,0.035869523882865906
0.43375,0.035905756,0.03590003773570061
0.435,0.035936832,0.0359310545027256
0.43625,0.03596841,0.03596256673336029
0.4375,0.03600048,0.035994578152894974
0.43875,0.036033057,0.03602708876132965
0.44,0.036066126,0.03606009483337402
0.44125,0.0360997,0.03609360009431839
0.4425,0.03613376,0.03612760826945305
0.44375,0.03616833,0.036162108182907104
0.445,0.036203388,0.03619711101055145
0.44625,0.036238942,0.036232609301805496
0.4475,0.036274996,0.036268606781959534
0.44875,0.036311556,0.03630509972572327
0.45,0.0363486,0.03634209185838699
0.45125,0.036386147,0.036379583179950714
0.4525,0.036424194,0.03641756996512413
0.45375,0.036462735,0.03645605593919754
0.455,0.03650177,0.036495037376880646
0.45625,0.036541305,0.036534518003463745
0.4575,0.03658134,0.03657449781894684
0.45875,0.03662187,0.03661497309803963
0.46,0.036662895,0.03665594384074211
0.46125,0.036704414,0.03669741377234459
0.4625,0.036746435,0.03673937916755676
0.46375,0.036788948,0.03678184375166893
0.465,0.03683196,0.03682480379939079
0.46625,0.036875464,0.03686826303601265
0.4675,0.036919467,0.0369122177362442
0.46875,0.036963977,0.03695667162537575
0.47,0.03700897,0.03700161725282669
0.47125,0.03705446,0.03704706206917763
0.4725,0.03710045,0.03709300607442856
0.47375,0.037146933,0.037139445543289185
0.475,0.037193913,0.037186380475759506
0.47625,0.037241388,0.03723381087183952
0.4775,0.037289362,0.037281740456819534
0.47875,0.03733783,0.03733016178011894
0.48,0.03738679,0.037379082292318344
0.48125,0.03743625,0.03742850199341774
0.4825,0.037486203,0.03747841343283653
